year,category,indicator,dimension,value,unit,note
2019,综合,GDP增长率,中国,6.0674,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2020,综合,GDP增长率,中国,2.3395,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2021,综合,GDP增长率,中国,8.5704,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2022,综合,GDP增长率,中国,3.1339,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2023,综合,GDP增长率,中国,5.416,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2024,综合,GDP增长率,中国,4.9583,%,"来源：世界银行OpenData(NY.GDP.MKTP.KD.ZG, CHN)"
2019,综合,人均GDP,中国,10342.901,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2020,综合,人均GDP,中国,10627.4638,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2021,综合,人均GDP,中国,12887.4357,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2022,综合,人均GDP,中国,12970.6056,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2023,综合,人均GDP,中国,12951.1782,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2024,综合,人均GDP,中国,13293.1162,美元,"来源：世界银行OpenData(NY.GDP.PCAP.CD, CHN)"
2019,综合,国内生产总值(GDP),中国,145601.671,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2020,综合,国内生产总值(GDP),中国,149964.1417,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2021,综合,国内生产总值(GDP),中国,182016.9872,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2022,综合,国内生产总值(GDP),中国,183167.6502,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2023,综合,国内生产总值(GDP),中国,182703.5665,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2024,综合,国内生产总值(GDP),中国,187296.6844,亿美元,"来源：世界银行OpenData(NY.GDP.MKTP.CD, CHN)"
2019,人口,失业率,中国,4.56,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2020,人口,失业率,中国,5.0,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2021,人口,失业率,中国,4.55,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2022,人口,失业率,中国,4.98,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2023,人口,失业率,中国,4.67,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2024,人口,失业率,中国,4.59,%,"来源：世界银行OpenData(SL.UEM.TOTL.ZS, CHN)"
2019,工业,工业增加值,中国,54985.3548,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2020,工业,工业增加值,中国,55354.1077,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2021,工业,工业增加值,中国,69334.7703,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2022,工业,工业增加值,中国,69410.514,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2023,工业,工业增加值,中国,67184.6745,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2024,工业,工业增加值,中国,68121.7107,亿美元,"来源：世界银行OpenData(NV.IND.TOTL.CD, CHN)"
2019,人口,总人口,中国,14.0775,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2020,人口,总人口,中国,14.111,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2021,人口,总人口,中国,14.1236,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2022,人口,总人口,中国,14.1218,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2023,人口,总人口,中国,14.1071,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2024,人口,总人口,中国,14.0898,亿人,"来源：世界银行OpenData(SP.POP.TOTL, CHN)"
2019,贸易,货物服务出口总额,中国,26411.8844,亿美元,"来源：世界银行OpenData(NE.EXP.GNFS.CD, CHN)"
